threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share
all,0.0,CL,90,1.0,12,1371,0.6265499635302699,0.586132177681475,0.19640474580128806,269.2709064935659,1.5961982685208045,0.4865061998541211,0.3136396790663749,0.199854121079504,145.0,0.0070372976776917895,0.7818181818181819,932.0,842.0,0.007037297677691767,1.0,0.5511111111111151,1.0,0.5426695842450766
all,0.0,CL,90,1.0,24,1370,0.6175182481751825,1.0,0.187248821928421,256.53088604193675,1.5095788112270627,0.5087591240875913,0.33065693430656934,0.16058394160583941,145.0,0.0070372976776917895,0.7818181818181819,933.0,843.0,0.007037297677691767,1.0,0.6290355125100955,1.0,0.5430656934306569
all,0.0,MES,30,0.75,12,1384,0.4869942196531792,-0.06614447345519671,0.15297927422100294,211.72331552186807,1.329976023863795,0.45447976878612717,0.4421965317919075,0.10332369942196531,210.0,0.0034386547017570823,0.9692307692307692,874.5,844.5,0.002578991026317872,1.3333333333333333,0.6666666666666893,0.9523809523808149,0.5469653179190751
all,0.0,MES,30,0.75,24,1383,0.4945770065075922,-0.005486968449926433,0.15610239659760608,215.8896144944892,1.3323012599063797,0.45480838756326825,0.4642082429501085,0.08098336948662328,210.0,0.0034386547017570823,0.9692307692307692,875.0,845.0,0.002578991026317872,1.3333333333333333,0.6703296703297088,0.9523809523808149,0.5473608098336948
all,0.0,MES,30,1.0,12,1384,0.5187861271676301,0.33746678476527525,0.07515075641792138,104.00864688240318,1.1799784121175148,0.48265895953757226,0.38511560693641617,0.13222543352601157,240.0,0.0034386547017570823,0.9692307692307692,874.5,844.5,0.0034386547017571626,1.0,0.6666666666666893,1.0,0.5469653179190751
all,0.0,MES,30,1.0,24,1383,0.5357917570498916,0.42072630646590037,0.08856972520729553,122.49192996168972,1.2141721340333345,0.4866232827187274,0.3940708604483008,0.1193058568329718,240.0,0.0034386547017570823,0.9692307692307692,875.0,845.0,0.0034386547017571626,1.0,0.6703296703297088,1.0,0.5473608098336948
all,0.0,MES,60,0.75,12,1380,0.4905797101449275,-0.061762034514062016,0.1519232211576352,209.6540451975366,1.3286313166470964,0.44782608695652176,0.4463768115942029,0.10579710144927536,180.0,0.0033630798731471012,0.9666574048346763,908.5,848.5,0.002522309904860336,1.3333333333333333,0.6568047337278416,0.9225806451612879,0.5485507246376812
all,0.0,MES,60,0.75,24,1379,0.4902102973168963,0.0,0.15709118463141494,216.6287436067212,1.3359281485869112,0.4503263234227701,0.4459753444525018,0.10369833212472807,180.0,0.0033630798731471012,0.9672131147540983,909.0,849.0,0.002522309904860336,1.3333333333333333,0.6601941747572505,0.9225806451612879,0.5489485134155185
all,0.0,MES,60,1.0,12,1380,0.5557971014492754,1.0,0.14151959871512268,195.2970462268693,1.368556856007109,0.5115942028985507,0.3572463768115942,0.13115942028985508,200.0,0.0033630798731471012,0.9666574048346763,908.5,848.5,0.0033630798731471147,1.0,0.6568047337278416,1.0,0.5485507246376812
all,0.0,MES,60,1.0,24,1379,0.564902102973169,1.0,0.1557099119256844,214.7239685455188,1.4110699540024558,0.5155910079767948,0.3567802755620014,0.12762871646120377,200.0,0.0033630798731471012,0.9672131147540983,909.0,849.0,0.0033630798731471147,1.0,0.6601941747572505,1.0020366598777986,0.5489485134155185
all,0.0,MES,90,0.75,12,1379,0.5119651921682379,0.09324009324011276,0.15898768749294415,219.24402105276997,1.344632190718203,0.4517766497461929,0.4423495286439449,0.10587382160986222,150.0,0.003399048266485405,0.9152542372881356,939.0,849.0,0.002549286199864038,1.3333333333333333,0.625498007968127,0.9559902200488846,0.5489485134155185
all,0.0,MES,90,0.75,24,1378,0.511611030478955,0.29215229215230387,0.17229851129279708,237.4273485614744,1.369345566404577,0.45428156748911463,0.44992743105950656,0.09579100145137881,150.0,0.003399048266485405,0.9152542372881356,939.5,849.5,0.002549286199864038,1.3333333333333333,0.6603773584905576,0.9559902200488846,0.5493468795355588
all,0.0,MES,90,1.0,12,1379,0.5678027556200145,1.0,0.12814930524320622,176.71789193038137,1.326143308400779,0.5076142131979695,0.36258158085569253,0.12980420594633793,165.0,0.003399048266485405,0.9152542372881356,939.0,849.0,0.003399048266485384,1.0,0.625498007968127,1.0020533880903473,0.5489485134155185
all,0.0,MES,90,1.0,24,1378,0.5769230769230769,1.0,0.14778144885225453,203.64283651840674,1.3811071912638897,0.5101596516690856,0.3621190130624093,0.12772133526850507,165.0,0.003399048266485405,0.9152542372881356,939.5,849.5,0.003399048266485384,1.0,0.6603773584905576,1.0020533880903473,0.5493468795355588
all,0.0,MNQ,30,0.75,12,1384,0.4949421965317919,-0.09090909090909091,0.18408720598212736,254.77669307926428,1.38784044820123,0.4934971098265896,0.46315028901734107,0.04335260115606936,210.0,0.004318975360328325,0.9830508474576272,874.5,844.5,0.0032392315202462484,1.3333333333333333,0.6596825396825463,1.0187683284457474,0.5469653179190751
all,0.0,MNQ,30,0.75,24,1383,0.519884309472162,0.602424242424232,0.19642260613258894,271.6524642813705,1.418668914037531,0.4938539407086045,0.462762111352133,0.04338394793926247,210.0,0.004318975360328325,0.9830508474576272,875.0,845.0,0.0032392315202462484,1.3333333333333333,0.6571428571428665,1.0187683284457474,0.5473608098336948
all,0.0,MNQ,30,1.0,12,1384,0.6358381502890174,1.0,0.30144709639474165,417.2027814103225,1.9260188207359146,0.625,0.3041907514450867,0.0708092485549133,210.0,0.004318975360328325,0.9830508474576272,874.5,844.5,0.0043189753603283315,1.0,0.6596825396825463,1.0311111111111333,0.5469653179190751
all,0.0,MNQ,30,1.0,24,1383,0.660882140274765,1.0,0.3208293876590153,443.70704313241816,2.0046160883173525,0.6348517715112075,0.3036876355748373,0.06146059291395517,210.0,0.004318975360328325,0.9830508474576272,875.0,845.0,0.0043189753603283315,1.0,0.6571428571428665,1.032812500000006,0.5473608098336948
all,0.0,MNQ,60,0.75,12,1384,0.5794797687861272,1.3333333333333333,0.38146094613309245,527.9419494481999,1.98365365236002,0.5765895953757225,0.3786127167630058,0.044797687861271675,180.0,0.004886117342864704,0.9838709677419355,904.5,844.5,0.00366458800714847,1.3333333333333333,0.4824030591708194,1.026146893513571,0.5469653179190751
all,0.0,MNQ,60,0.75,24,1383,0.6044830079537238,1.3333333333333333,0.39307194177612703,543.6184954763837,2.0246441481403377,0.5770065075921909,0.3781634128705712,0.04483007953723789,180.0,0.004886117342864704,0.9838709677419355,905.0,845.0,0.00366458800714847,1.3333333333333333,0.4785992217899022,1.026431718061649,0.5473608098336948
