strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
fade_credit_72h,credit_spread_proxy,72,p80,0.8,immediate,SPY,421,0.5985748218527316,0.5384615384615384,-0.05305180734085773,-22.334810890501103,0.8535191571301995,0.003933784264862794,0.9076923076923077,,,,,0.17339667458432304,0.27790973871733965,2.2187499999999756,2.603375527426138
fade_credit_72h,credit_spread_proxy,72,p80,0.8,immediate,UNG,450,0.62,0.5384615384615384,-0.03503442138358708,-15.765489622614187,0.9027401629081232,0.013109303852097631,0.8983050847457628,,,,,0.20222222222222222,0.3088888888888889,2.262422360248439,2.679487179487185
fade_credit_72h,credit_spread_proxy,72,p80,0.8,immediate,USO,435,0.6137931034482759,0.5384615384615384,-0.040587596075731924,-17.655604292943387,0.8888207966939226,0.007968127490040056,0.8983050847457628,,,,,0.19080459770114944,0.3080459770114943,2.28205128205128,2.479166666666641
fade_credit_72h,credit_spread_proxy,72,p80,0.8,delayed,GLD,1091,0.5829514207149404,0.5384615384615384,-0.04730780264765287,-51.61281268858928,0.8620620430822792,0.007011035306693447,0.9830508474576272,,,,,0.13932172318973418,0.3437213565536205,1.5723014256619003,1.0285714285714564
fade_credit_72h,credit_spread_proxy,72,p80,0.8,delayed,QQQ,1063,0.7224835371589841,0.5384615384615384,0.11903525258061592,126.53447349319472,1.4500910486564011,0.005828751287182632,1.0,,,,,0.2502351834430856,0.3922859830667921,1.2645228215767517,2.2362204724409795
fade_credit_72h,credit_spread_proxy,72,p80,0.8,delayed,SLV,985,0.5431472081218274,0.30149471381698645,-0.11964989999770728,-117.85515149774167,0.6885032292404248,0.014056224899598346,0.9830508474576272,,,,,0.16446700507614212,0.3380710659898477,1.7710843373493999,1.0
fade_credit_72h,credit_spread_proxy,72,p80,0.8,delayed,SPY,1055,0.6976303317535545,0.5384615384615384,0.14025428966297107,147.9682755944345,1.6112312960841835,0.004530969174306287,0.9836065573770492,,,,,0.25781990521327014,0.35165876777251187,1.5263157894736168,2.194736842105268
fade_credit_72h,credit_spread_proxy,72,p80,0.8,delayed,UNG,1126,0.6625222024866785,0.5384615384615384,0.0315618782561029,35.53867491637186,1.1042466383841405,0.019628148158183534,1.0,,,,,0.1891651865008881,0.325044404973357,1.6818181818181734,1.375000000000001
fade_credit_72h,credit_spread_proxy,72,p80,0.8,delayed,USO,726,0.7024793388429752,0.5384615384615384,0.09060237093610178,65.7773212996099,1.3346734135322944,0.013895781637716986,0.9649122807017544,,,,,0.2865013774104683,0.4476584022038568,1.2291666666666339,1.6769230769230725
fade_credit_72h,credit_spread_proxy,72,p90,0.9,immediate,GLD,198,0.6464646464646465,0.5384615384615384,0.005284367588578229,1.0463047825384892,1.0161064930492703,0.0064262711196746425,0.953125,,,,,0.2222222222222222,0.35353535353535354,1.825473472971284,1.73054903013626
fade_credit_72h,credit_spread_proxy,72,p90,0.9,immediate,QQQ,211,0.6255924170616114,0.5384615384615384,-0.012206697629590042,-2.575613199843499,0.9634083054536196,0.00749547253336913,0.9538461538461539,,,,,0.17535545023696683,0.3127962085308057,2.0182648401825793,2.1549636803874335
fade_credit_72h,credit_spread_proxy,72,p90,0.9,immediate,SLV,180,0.6333333333333333,0.5384615384615384,-0.01605654782650427,-2.8901786087707686,0.9534402634416506,0.013809160674577603,0.9538461538461539,,,,,0.19444444444444445,0.31666666666666665,2.1585917312661573,1.772765246449461
